                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         43.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -1964.05945
        Step              PE              KE                TE 
       136         -1974.94000         416.01921       -1558.92079
       137         -1974.98022         416.05943       -1558.92079
       138         -1975.01930         416.09852       -1558.92078
       139         -1975.05733         416.13655       -1558.92078
       140         -1975.09437         416.17360       -1558.92077
       141         -1975.13050         416.20973       -1558.92077
       142         -1975.16577         416.24501       -1558.92076
       143         -1975.20028         416.27953       -1558.92075
       144         -1975.23409         416.31335       -1558.92074
       145         -1975.26729         416.34655       -1558.92074
       146         -1975.29993         416.37919       -1558.92073
       147         -1975.33207         416.41134       -1558.92073
       148         -1975.36381         416.44309       -1558.92072
       149         -1975.39522         416.47449       -1558.92073
       150         -1975.42631         416.50558       -1558.92072
       151         -1975.45713         416.53641       -1558.92072
       152         -1975.48773         416.56701       -1558.92072
       153         -1975.51816         416.59744       -1558.92072
       154         -1975.54847         416.62775       -1558.92072
       155         -1975.57871         416.65799       -1558.92072
       156         -1975.60892         416.68819       -1558.92073
       157         -1975.63911         416.71839       -1558.92072
       158         -1975.66931         416.74858       -1558.92072
       159         -1975.69952         416.77879       -1558.92072
       160         -1975.72976         416.80904       -1558.92072
       161         -1975.76007         416.83934       -1558.92072
       162         -1975.79044         416.86971       -1558.92073
       163         -1975.82088         416.90016       -1558.92072
       164         -1975.85141         416.93068       -1558.92073
       165         -1975.88201         416.96128       -1558.92073
       166         -1975.91267         416.99195       -1558.92073
       167         -1975.94341         417.02268       -1558.92073
       168         -1975.97420         417.05346       -1558.92073
       169         -1976.00501         417.08428       -1558.92073
       170         -1976.03584         417.11510       -1558.92074
       171         -1976.06667         417.14593       -1558.92074
       172         -1976.09746         417.17673       -1558.92073
       173         -1976.12819         417.20745       -1558.92074
       174         -1976.15881         417.23806       -1558.92075
       175         -1976.18928         417.26853       -1558.92075
       176         -1976.21956         417.29880       -1558.92076
       177         -1976.24960         417.32884       -1558.92076
       178         -1976.27936         417.35859       -1558.92077
       179         -1976.30878         417.38800       -1558.92078
       180         -1976.33780         417.41703       -1558.92078
       181         -1976.36639         417.44561       -1558.92078
       182         -1976.39445         417.47366       -1558.92079
       183         -1976.42192         417.50113       -1558.92079
       184         -1976.44874         417.52795       -1558.92079
       185         -1976.47483         417.55403       -1558.92080
       186         -1976.50013         417.57932       -1558.92081
       187         -1976.52457         417.60375       -1558.92082
       188         -1976.54807         417.62725       -1558.92082
       189         -1976.57056         417.64974       -1558.92083
       190         -1976.59197         417.67114       -1558.92083
       191         -1976.61221         417.69138       -1558.92083
       192         -1976.63123         417.71039       -1558.92084
       193         -1976.64892         417.72808       -1558.92084
       194         -1976.66521         417.74437       -1558.92085
       195         -1976.68004         417.75919       -1558.92085
       196         -1976.69332         417.77247       -1558.92085
       197         -1976.70500         417.78414       -1558.92086
       198         -1976.71498         417.79412       -1558.92087
       199         -1976.72320         417.80232       -1558.92087
       200         -1976.72958         417.80870       -1558.92087
       201         -1976.73406         417.81318       -1558.92088
       202         -1976.73657         417.81570       -1558.92087
       203         -1976.73705         417.81617       -1558.92088
       204         -1976.73542         417.81453       -1558.92088
       205         -1976.73162         417.81073       -1558.92088
       206         -1976.72561         417.80471       -1558.92089
       207         -1976.71730         417.79641       -1558.92089
       208         -1976.70665         417.78576       -1558.92089
       209         -1976.69361         417.77271       -1558.92089
       210         -1976.67814         417.75725       -1558.92089
       211         -1976.66021         417.73932       -1558.92089
       212         -1976.63977         417.71887       -1558.92090
       213         -1976.61676         417.69586       -1558.92090
       214         -1976.59116         417.67026       -1558.92090
       215         -1976.56297         417.64207       -1558.92090
       216         -1976.53216         417.61126       -1558.92090
       217         -1976.49870         417.57780       -1558.92090
       218         -1976.46260         417.54169       -1558.92090
       219         -1976.42381         417.50291       -1558.92091
       220         -1976.38233         417.46143       -1558.92091
       221         -1976.33819         417.41728       -1558.92091
       222         -1976.29137         417.37047       -1558.92090
       223         -1976.24190         417.32100       -1558.92090
       224         -1976.18978         417.26888       -1558.92090
       225         -1976.13501         417.21411       -1558.92090
       226         -1976.07762         417.15672       -1558.92089
       227         -1976.01763         417.09674       -1558.92089
       228         -1975.95510         417.03420       -1558.92089
       229         -1975.89005         416.96915       -1558.92089
       230         -1975.82254         416.90165       -1558.92089
       231         -1975.75260         416.83171       -1558.92089
       232         -1975.68027         416.75938       -1558.92089
       233         -1975.60561         416.68472       -1558.92089
       234         -1975.52867         416.60778       -1558.92089
       235         -1975.44951         416.52863       -1558.92089
       236         -1975.36822         416.44734       -1558.92088
       237         -1975.28486         416.36398       -1558.92088
       238         -1975.19951         416.27863       -1558.92088
       239         -1975.11221         416.19134       -1558.92087
       240         -1975.02308         416.10221       -1558.92087
       241         -1974.93217         416.01131       -1558.92086
       242         -1974.83957         415.91871       -1558.92085
       243         -1974.74535         415.82450       -1558.92085
       244         -1974.64961         415.72876       -1558.92084
       245         -1974.55242         415.63158       -1558.92084
       246         -1974.45392         415.53308       -1558.92084
       247         -1974.35417         415.43334       -1558.92083
       248         -1974.25327         415.33244       -1558.92083
       249         -1974.15131         415.23049       -1558.92082
       250         -1974.04841         415.12759       -1558.92082
       251         -1973.94465         415.02383       -1558.92082
       252         -1973.84014         414.91932       -1558.92082
       253         -1973.73498         414.81418       -1558.92080
       254         -1973.62930         414.70851       -1558.92079
       255         -1973.52320         414.60241       -1558.92079
       256         -1973.41677         414.49598       -1558.92079
       257         -1973.31012         414.38933       -1558.92079
       258         -1973.20335         414.28257       -1558.92078
       259         -1973.09658         414.17581       -1558.92077
       260         -1972.98992         414.06916       -1558.92076
       261         -1972.88346         413.96270       -1558.92076
       262         -1972.77730         413.85655       -1558.92075
       263         -1972.67156         413.75082       -1558.92074
       264         -1972.56637         413.64563       -1558.92074
       265         -1972.46181         413.54108       -1558.92073
       266         -1972.35800         413.43727       -1558.92073
       267         -1972.25504         413.33432       -1558.92072
       268         -1972.15304         413.23233       -1558.92071
       269         -1972.05212         413.13142       -1558.92070
       270         -1971.95239         413.03169       -1558.92070
       271         -1971.85395         412.93326       -1558.92069
       272         -1971.75689         412.83621       -1558.92068
       273         -1971.66129         412.74062       -1558.92068
       274         -1971.56727         412.64660       -1558.92067
       275         -1971.47493         412.55427       -1558.92066
       276         -1971.38436         412.46371       -1558.92065
       277         -1971.29565         412.37500       -1558.92065
       278         -1971.20889         412.28824       -1558.92064
       279         -1971.12418         412.20355       -1558.92063
       280         -1971.04164         412.12101       -1558.92063
       281         -1970.96135         412.04073       -1558.92062
       282         -1970.88338         411.96276       -1558.92062
       283         -1970.80777         411.88716       -1558.92061
       284         -1970.73462         411.81401       -1558.92061
       285         -1970.66400         411.74339       -1558.92060
       286         -1970.59597         411.67537       -1558.92060
       287         -1970.53061         411.61001       -1558.92060
       288         -1970.46798         411.54738       -1558.92059
       289         -1970.40815         411.48756       -1558.92059
       290         -1970.35119         411.43059       -1558.92059
       291         -1970.29713         411.37653       -1558.92060
       292         -1970.24602         411.32543       -1558.92059
       293         -1970.19789         411.27731       -1558.92058
       294         -1970.15280         411.23222       -1558.92058
       295         -1970.11075         411.19017       -1558.92057
       296         -1970.07175         411.15119       -1558.92057
       297         -1970.03588         411.11531       -1558.92057
       298         -1970.00313         411.08256       -1558.92058
       299         -1969.97354         411.05296       -1558.92058
       300         -1969.94707         411.02649       -1558.92058
       301         -1969.92374         411.00316       -1558.92058
       302         -1969.90356         410.98297       -1558.92058
       303         -1969.88650         410.96592       -1558.92058
       304         -1969.87257         410.95199       -1558.92058
       305         -1969.86174         410.94116       -1558.92058
       306         -1969.85399         410.93341       -1558.92058
       307         -1969.84931         410.92873       -1558.92058
       308         -1969.84764         410.92705       -1558.92059
       309         -1969.84894         410.92835       -1558.92059
       310         -1969.85318         410.93260       -1558.92059
       311         -1969.86032         410.93973       -1558.92059
       312         -1969.87028         410.94968       -1558.92060
       313         -1969.88299         410.96239       -1558.92061
       314         -1969.89838         410.97778       -1558.92061
       315         -1969.91641         410.99580       -1558.92061
       316         -1969.93700         411.01638       -1558.92062
       317         -1969.96009         411.03945       -1558.92063
       318         -1969.98555         411.06491       -1558.92065
       319         -1970.01330         411.09265       -1558.92065
       320         -1970.04326         411.12261       -1558.92065
       321         -1970.07532         411.15465       -1558.92067
       322         -1970.10936         411.18868       -1558.92067
       323         -1970.14527         411.22459       -1558.92068
       324         -1970.18297         411.26228       -1558.92068
       325         -1970.22235         411.30166       -1558.92069
       326         -1970.26330         411.34260       -1558.92070
       327         -1970.30570         411.38500       -1558.92070
       328         -1970.34947         411.42877       -1558.92070
       329         -1970.39448         411.47377       -1558.92071
       330         -1970.44060         411.51989       -1558.92071
       331         -1970.48774         411.56702       -1558.92072
       332         -1970.53577         411.61504       -1558.92073
       333         -1970.58459         411.66385       -1558.92074
       334         -1970.63410         411.71334       -1558.92075
       335         -1970.68414         411.76337       -1558.92076
       336         -1970.73460         411.81384       -1558.92076
       337         -1970.78540         411.86462       -1558.92077
       338         -1970.83640         411.91562       -1558.92078
       339         -1970.88749         411.96671       -1558.92078
       340         -1970.93857         412.01779       -1558.92078
       341         -1970.98956         412.06877       -1558.92079
       342         -1971.04034         412.11955       -1558.92080
       343         -1971.09082         412.17001       -1558.92081
       344         -1971.14089         412.22008       -1558.92081
       345         -1971.19046         412.26964       -1558.92082
       346         -1971.23942         412.31860       -1558.92083
       347         -1971.28771         412.36687       -1558.92084
       348         -1971.33526         412.41441       -1558.92085
       349         -1971.38198         412.46113       -1558.92085
       350         -1971.42779         412.50693       -1558.92086
       351         -1971.47262         412.55175       -1558.92086
       352         -1971.51638         412.59551       -1558.92086
       353         -1971.55904         412.63817       -1558.92087
       354         -1971.60053         412.67966       -1558.92087
       355         -1971.64082         412.71995       -1558.92088
       356         -1971.67987         412.75899       -1558.92088
       357         -1971.71761         412.79673       -1558.92088
       358         -1971.75404         412.83315       -1558.92089
       359         -1971.78912         412.86823       -1558.92089
       360         -1971.82281         412.90192       -1558.92089
       361         -1971.85511         412.93421       -1558.92089
       362         -1971.88599         412.96510       -1558.92089
       363         -1971.91545         412.99456       -1558.92089
       364         -1971.94345         413.02256       -1558.92089
       365         -1971.97000         413.04911       -1558.92089
       366         -1971.99512         413.07422       -1558.92089
       367         -1972.01878         413.09790       -1558.92088
       368         -1972.04101         413.12013       -1558.92087
       369         -1972.06180         413.14094       -1558.92087
       370         -1972.08118         413.16032       -1558.92086
       371         -1972.09917         413.17832       -1558.92085
       372         -1972.11583         413.19497       -1558.92086
       373         -1972.13116         413.21030       -1558.92085
       374         -1972.14519         413.22434       -1558.92085
       375         -1972.15795         413.23711       -1558.92085
       376         -1972.16950         413.24865       -1558.92085
       377         -1972.17984         413.25900       -1558.92085
       378         -1972.18902         413.26818       -1558.92084
       379         -1972.19708         413.27623       -1558.92085
       380         -1972.20404         413.28320       -1558.92084
       381         -1972.20997         413.28913       -1558.92084
       382         -1972.21489         413.29406       -1558.92084
       383         -1972.21888         413.29805       -1558.92083
       384         -1972.22197         413.30114       -1558.92083
       385         -1972.22421         413.30338       -1558.92083
       386         -1972.22562         413.30480       -1558.92083
       387         -1972.22626         413.30544       -1558.92082
       388         -1972.22618         413.30537       -1558.92081
       389         -1972.22541         413.30460       -1558.92081
       390         -1972.22401         413.30320       -1558.92081
       391         -1972.22202         413.30120       -1558.92082
       392         -1972.21949         413.29867       -1558.92082
       393         -1972.21646         413.29564       -1558.92082
       394         -1972.21297         413.29216       -1558.92081
       395         -1972.20906         413.28825       -1558.92081
       396         -1972.20476         413.28395       -1558.92080
       397         -1972.20010         413.27931       -1558.92080
       398         -1972.19515         413.27436       -1558.92079
       399         -1972.18992         413.26913       -1558.92079
       400         -1972.18443         413.26364       -1558.92079
       401         -1972.17870         413.25791       -1558.92079
       402         -1972.17276         413.25198       -1558.92078
       403         -1972.16666         413.24588       -1558.92078
       404         -1972.16042         413.23964       -1558.92078
       405         -1972.15408         413.23329       -1558.92079
       406         -1972.14765         413.22687       -1558.92079
       407         -1972.14119         413.22040       -1558.92079
       408         -1972.13470         413.21392       -1558.92079
       409         -1972.12821         413.20742       -1558.92079
       410         -1972.12171         413.20092       -1558.92079
       411         -1972.11522         413.19443       -1558.92079
       412         -1972.10875         413.18796       -1558.92079
       413         -1972.10235         413.18156       -1558.92079
       414         -1972.09603         413.17523       -1558.92080
       415         -1972.08978         413.16897       -1558.92080
       416         -1972.08362         413.16282       -1558.92081
       417         -1972.07757         413.15677       -1558.92080
       418         -1972.07167         413.15086       -1558.92080
       419         -1972.06592         413.14511       -1558.92081
       420         -1972.06034         413.13954       -1558.92080
       421         -1972.05496         413.13416       -1558.92081
       422         -1972.04979         413.12898       -1558.92081
       423         -1972.04485         413.12404       -1558.92080
       424         -1972.04017         413.11937       -1558.92080
       425         -1972.03577         413.11497       -1558.92080
       426         -1972.03165         413.11086       -1558.92080
       427         -1972.02785         413.10706       -1558.92080
       428         -1972.02440         413.10360       -1558.92080
       429         -1972.02131         413.10052       -1558.92079
       430         -1972.01862         413.09783       -1558.92079
       431         -1972.01636         413.09558       -1558.92078
       432         -1972.01456         413.09378       -1558.92079
       433         -1972.01323         413.09245       -1558.92078
       434         -1972.01241         413.09163       -1558.92078
       435         -1972.01214         413.09136       -1558.92078
       436         -1972.01242         413.09164       -1558.92078
       437         -1972.01329         413.09251       -1558.92078
       438         -1972.01478         413.09400       -1558.92078
       439         -1972.01689         413.09612       -1558.92077
       440         -1972.01967         413.09891       -1558.92077
       441         -1972.02316         413.10239       -1558.92077
       442         -1972.02735         413.10658       -1558.92076
       443         -1972.03226         413.11149       -1558.92077
       444         -1972.03791         413.11715       -1558.92077
       445         -1972.04432         413.12356       -1558.92076
