                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         42.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -2105.83958
        Step              PE              KE                TE 
       136         -2100.99739         400.29680       -1700.70059
       137         -2101.02469         400.32410       -1700.70059
       138         -2101.05357         400.35298       -1700.70059
       139         -2101.08408         400.38349       -1700.70059
       140         -2101.11625         400.41567       -1700.70058
       141         -2101.15013         400.44956       -1700.70058
       142         -2101.18577         400.48519       -1700.70058
       143         -2101.22317         400.52259       -1700.70058
       144         -2101.26235         400.56177       -1700.70057
       145         -2101.30335         400.60279       -1700.70057
       146         -2101.34621         400.64564       -1700.70057
       147         -2101.39091         400.69034       -1700.70057
       148         -2101.43747         400.73690       -1700.70057
       149         -2101.48593         400.78535       -1700.70058
       150         -2101.53622         400.83565       -1700.70057
       151         -2101.58838         400.88780       -1700.70058
       152         -2101.64238         400.94180       -1700.70058
       153         -2101.69823         400.99764       -1700.70060
       154         -2101.75592         401.05532       -1700.70060
       155         -2101.81543         401.11483       -1700.70060
       156         -2101.87674         401.17613       -1700.70061
       157         -2101.93980         401.23919       -1700.70062
       158         -2102.00459         401.30398       -1700.70062
       159         -2102.07109         401.37047       -1700.70062
       160         -2102.13922         401.43861       -1700.70062
       161         -2102.20898         401.50836       -1700.70062
       162         -2102.28032         401.57969       -1700.70063
       163         -2102.35320         401.65257       -1700.70063
       164         -2102.42759         401.72697       -1700.70062
       165         -2102.50344         401.80282       -1700.70062
       166         -2102.58070         401.88007       -1700.70062
       167         -2102.65929         401.95866       -1700.70063
       168         -2102.73917         402.03854       -1700.70063
       169         -2102.82027         402.11964       -1700.70063
       170         -2102.90253         402.20190       -1700.70064
       171         -2102.98589         402.28525       -1700.70064
       172         -2103.07030         402.36965       -1700.70065
       173         -2103.15567         402.45502       -1700.70065
       174         -2103.24198         402.54132       -1700.70066
       175         -2103.32914         402.62848       -1700.70066
       176         -2103.41706         402.71639       -1700.70067
       177         -2103.50566         402.80499       -1700.70067
       178         -2103.59490         402.89423       -1700.70067
       179         -2103.68468         402.98401       -1700.70067
       180         -2103.77493         403.07426       -1700.70067
       181         -2103.86557         403.16489       -1700.70068
       182         -2103.95653         403.25584       -1700.70068
       183         -2104.04773         403.34704       -1700.70069
       184         -2104.13907         403.43837       -1700.70070
       185         -2104.23047         403.52976       -1700.70070
       186         -2104.32185         403.62114       -1700.70071
       187         -2104.41312         403.71242       -1700.70071
       188         -2104.50421         403.80350       -1700.70072
       189         -2104.59502         403.89430       -1700.70072
       190         -2104.68546         403.98474       -1700.70072
       191         -2104.77548         404.07475       -1700.70073
       192         -2104.86497         404.16423       -1700.70073
       193         -2104.95384         404.25311       -1700.70073
