                               No. of Molecules =    12800
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         84.6420
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en      -16846.98347
        Step              PE              KE                TE 
       130        -16853.90654        3249.80751      -13604.09903
       131        -16853.43358        3249.33456      -13604.09902
       132        -16852.94093        3248.84193      -13604.09900
       133        -16852.42899        3248.33002      -13604.09898
       134        -16851.89821        3247.79927      -13604.09893
       135        -16851.34910        3247.25021      -13604.09889
       136        -16850.78222        3246.68334      -13604.09887
       137        -16850.19806        3246.09923      -13604.09884
       138        -16849.59725        3245.49844      -13604.09881
       139        -16848.98031        3244.88154      -13604.09878
       140        -16848.34791        3244.24917      -13604.09875
       141        -16847.70073        3243.60201      -13604.09872
       142        -16847.03940        3242.94073      -13604.09867
       143        -16846.36459        3242.26595      -13604.09864
       144        -16845.67697        3241.57839      -13604.09858
       145        -16844.97733        3240.87879      -13604.09854
       146        -16844.26639        3240.16789      -13604.09850
       147        -16843.54485        3239.44639      -13604.09846
       148        -16842.81345        3238.71501      -13604.09843
       149        -16842.07293        3237.97454      -13604.09839
       150        -16841.32410        3237.22575      -13604.09835
       151        -16840.56772        3236.46939      -13604.09833
       152        -16839.80452        3235.70623      -13604.09829
       153        -16839.03527        3234.93702      -13604.09825
       154        -16838.26071        3234.16252      -13604.09819
       155        -16837.48163        3233.38348      -13604.09815
       156        -16836.69882        3232.60069      -13604.09813
       157        -16835.91295        3231.81487      -13604.09808
       158        -16835.12484        3231.02681      -13604.09802
       159        -16834.33528        3230.23730      -13604.09798
       160        -16833.54498        3229.44704      -13604.09794
       161        -16832.75462        3228.65671      -13604.09791
       162        -16831.96490        3227.86703      -13604.09787
       163        -16831.17654        3227.07871      -13604.09783
       164        -16830.39022        3226.29242      -13604.09780
       165        -16829.60654        3225.50878      -13604.09776
       166        -16828.82608        3224.72836      -13604.09772
       167        -16828.04949        3223.95179      -13604.09769
       168        -16827.27738        3223.17973      -13604.09766
       169        -16826.51038        3222.41275      -13604.09763
       170        -16825.74896        3221.65136      -13604.09760
       171        -16824.99364        3220.89608      -13604.09756
       172        -16824.24487        3220.14734      -13604.09753
       173        -16823.50311        3219.40562      -13604.09750
       174        -16822.76880        3218.67132      -13604.09748
       175        -16822.04232        3217.94485      -13604.09747
       176        -16821.32400        3217.22655      -13604.09745
       177        -16820.61413        3216.51669      -13604.09744
       178        -16819.91301        3215.81557      -13604.09744
       179        -16819.22086        3215.12343      -13604.09743
       180        -16818.53796        3214.44054      -13604.09743
       181        -16817.86450        3213.76710      -13604.09740
       182        -16817.20068        3213.10327      -13604.09741
       183        -16816.54657        3212.44917      -13604.09740
       184        -16815.90226        3211.80487      -13604.09739
       185        -16815.26781        3211.17042      -13604.09739
       186        -16814.64328        3210.54587      -13604.09741
       187        -16814.02868        3209.93125      -13604.09743
       188        -16813.42397        3209.32652      -13604.09746
       189        -16812.82907        3208.73161      -13604.09747
       190        -16812.24389        3208.14643      -13604.09747
       191        -16811.66832        3207.57086      -13604.09747
       192        -16811.10225        3207.00479      -13604.09747
       193        -16810.54549        3206.44801      -13604.09748
       194        -16809.99782        3205.90032      -13604.09750
       195        -16809.45904        3205.36154      -13604.09750
       196        -16808.92898        3204.83146      -13604.09751
       197        -16808.40733        3204.30981      -13604.09753
       198        -16807.89384        3203.79631      -13604.09753
       199        -16807.38826        3203.29072      -13604.09754
       200        -16806.89027        3202.79270      -13604.09757
       201        -16806.39951        3202.30192      -13604.09759
       202        -16805.91568        3201.81806      -13604.09762
       203        -16805.43844        3201.34078      -13604.09766
       204        -16804.96747        3200.86977      -13604.09770
       205        -16804.50241        3200.40468      -13604.09773
       206        -16804.04292        3199.94517      -13604.09776
       207        -16803.58869        3199.49092      -13604.09777
       208        -16803.13940        3199.04160      -13604.09779
       209        -16802.69465        3198.59684      -13604.09781
       210        -16802.25407        3198.15622      -13604.09785
       211        -16801.81735        3197.71946      -13604.09789
       212        -16801.38420        3197.28629      -13604.09791
       213        -16800.95430        3196.85637      -13604.09793
       214        -16800.52730        3196.42932      -13604.09798
       215        -16800.10281        3196.00481      -13604.09799
       216        -16799.68059        3195.58257      -13604.09802
       217        -16799.26029        3195.16224      -13604.09805
       218        -16798.84160        3194.74352      -13604.09809
       219        -16798.42426        3194.32613      -13604.09813
       220        -16798.00802        3193.90988      -13604.09814
       221        -16797.59266        3193.49451      -13604.09815
       222        -16797.17795        3193.07977      -13604.09818
       223        -16796.76362        3192.66545      -13604.09817
       224        -16796.34952        3192.25132      -13604.09820
       225        -16795.93544        3191.83721      -13604.09823
       226        -16795.52116        3191.42293      -13604.09823
       227        -16795.10654        3191.00829      -13604.09825
       228        -16794.69144        3190.59317      -13604.09827
       229        -16794.27577        3190.17748      -13604.09829
       230        -16793.85941        3189.76110      -13604.09831
       231        -16793.44219        3189.34389      -13604.09830
       232        -16793.02408        3188.92578      -13604.09831
       233        -16792.60504        3188.50673      -13604.09831
       234        -16792.18504        3188.08671      -13604.09833
       235        -16791.76398        3187.66565      -13604.09833
       236        -16791.34183        3187.24349      -13604.09834
       237        -16790.91861        3186.82026      -13604.09835
       238        -16790.49425        3186.39591      -13604.09833
       239        -16790.06878        3185.97043      -13604.09835
       240        -16789.64221        3185.54387      -13604.09834
       241        -16789.21462        3185.11628      -13604.09834
       242        -16788.78604        3184.68768      -13604.09836
       243        -16788.35647        3184.25811      -13604.09836
       244        -16787.92593        3183.82759      -13604.09834
       245        -16787.49449        3183.39616      -13604.09833
       246        -16787.06227        3182.96395      -13604.09832
       247        -16786.62939        3182.53106      -13604.09832
       248        -16786.19586        3182.09753      -13604.09832
       249        -16785.76172        3181.66340      -13604.09831
       250        -16785.32706        3181.22875      -13604.09831
       251        -16784.89198        3180.79368      -13604.09830
       252        -16784.45659        3180.35829      -13604.09830
       253        -16784.02094        3179.92265      -13604.09830
       254        -16783.58518        3179.48688      -13604.09829
       255        -16783.14937        3179.05109      -13604.09828
       256        -16782.71363        3178.61535      -13604.09828
       257        -16782.27806        3178.17980      -13604.09826
       258        -16781.84278        3177.74454      -13604.09824
       259        -16781.40789        3177.30965      -13604.09825
       260        -16780.97346        3176.87522      -13604.09823
       261        -16780.53963        3176.44139      -13604.09824
       262        -16780.10649        3176.00826      -13604.09824
       263        -16779.67415        3175.57593      -13604.09823
       264        -16779.24274        3175.14452      -13604.09822
       265        -16778.81238        3174.71415      -13604.09822
       266        -16778.38315        3174.28492      -13604.09823
       267        -16777.95514        3173.85693      -13604.09822
       268        -16777.52850        3173.43030      -13604.09820
       269        -16777.10339        3173.00517      -13604.09822
       270        -16776.67990        3172.58168      -13604.09823
       271        -16776.25817        3172.15996      -13604.09821
       272        -16775.83827        3171.74007      -13604.09819
       273        -16775.42030        3171.32213      -13604.09818
       274        -16775.00442        3170.90624      -13604.09818
       275        -16774.59069        3170.49252      -13604.09817
       276        -16774.17923        3170.08108      -13604.09815
       277        -16773.77022        3169.67204      -13604.09817
       278        -16773.36375        3169.26557      -13604.09817
       279        -16772.95996        3168.86179      -13604.09817
       280        -16772.55894        3168.46078      -13604.09816
       281        -16772.16082        3168.06267      -13604.09815
       282        -16771.76575        3167.66760      -13604.09815
       283        -16771.37383        3167.27566      -13604.09817
       284        -16770.98514        3166.88696      -13604.09818
       285        -16770.59985        3166.50168      -13604.09817
       286        -16770.21810        3166.11994      -13604.09816
       287        -16769.84003        3165.74189      -13604.09815
       288        -16769.46582        3165.36769      -13604.09813
       289        -16769.09561        3164.99748      -13604.09813
       290        -16768.72948        3164.63137      -13604.09811
       291        -16768.36761        3164.26949      -13604.09811
       292        -16768.01007        3163.91195      -13604.09812
       293        -16767.65697        3163.55887      -13604.09811
       294        -16767.30849        3163.21039      -13604.09811
       295        -16766.96471        3162.86662      -13604.09810
       296        -16766.62578        3162.52769      -13604.09809
       297        -16766.29182        3162.19374      -13604.09808
       298        -16765.96298        3161.86491      -13604.09807
       299        -16765.63939        3161.54131      -13604.09808
       300        -16765.32115        3161.22307      -13604.09808
       301        -16765.00836        3160.91029      -13604.09807
       302        -16764.70113        3160.60306      -13604.09806
       303        -16764.39954        3160.30148      -13604.09805
       304        -16764.10372        3160.00566      -13604.09806
       305        -16763.81376        3159.71569      -13604.09806
       306        -16763.52973        3159.43167      -13604.09806
       307        -16763.25172        3159.15367      -13604.09805
       308        -16762.97980        3158.88176      -13604.09804
       309        -16762.71406        3158.61602      -13604.09804
       310        -16762.45454        3158.35651      -13604.09803
       311        -16762.20125        3158.10324      -13604.09801
       312        -16761.95425        3157.85623      -13604.09802
       313        -16761.71355        3157.61553      -13604.09801
       314        -16761.47923        3157.38121      -13604.09802
       315        -16761.25132        3157.15329      -13604.09803
       316        -16761.02980        3156.93178      -13604.09802
       317        -16760.81469        3156.71667      -13604.09802
       318        -16760.60594        3156.50792      -13604.09802
       319        -16760.40356        3156.30553      -13604.09802
       320        -16760.20755        3156.10953      -13604.09802
       321        -16760.01791        3155.91988      -13604.09802
       322        -16759.83455        3155.73653      -13604.09801
       323        -16759.65746        3155.55945      -13604.09801
       324        -16759.48657        3155.38856      -13604.09801
       325        -16759.32180        3155.22378      -13604.09802
       326        -16759.16308        3155.06505      -13604.09802
       327        -16759.01031        3154.91230      -13604.09801
       328        -16758.86352        3154.76549      -13604.09802
       329        -16758.72259        3154.62458      -13604.09801
       330        -16758.58748        3154.48947      -13604.09801
       331        -16758.45810        3154.36009      -13604.09801
       332        -16758.33434        3154.23633      -13604.09802
       333        -16758.21615        3154.11812      -13604.09802
       334        -16758.10346        3154.00544      -13604.09802
       335        -16757.99620        3153.89818      -13604.09802
       336        -16757.89427        3153.79624      -13604.09803
       337        -16757.79759        3153.69956      -13604.09803
       338        -16757.70614        3153.60809      -13604.09805
       339        -16757.61977        3153.52173      -13604.09805
       340        -16757.53844        3153.44037      -13604.09807
       341        -16757.46202        3153.36394      -13604.09807
       342        -16757.39042        3153.29234      -13604.09808
       343        -16757.32357        3153.22549      -13604.09808
       344        -16757.26138        3153.16329      -13604.09809
       345        -16757.20376        3153.10567      -13604.09809
       346        -16757.15067        3153.05257      -13604.09810
       347        -16757.10202        3153.00392      -13604.09810
       348        -16757.05770        3152.95959      -13604.09811
       349        -16757.01761        3152.91950      -13604.09812
       350        -16756.98172        3152.88360      -13604.09812
       351        -16756.94991        3152.85180      -13604.09811
       352        -16756.92213        3152.82401      -13604.09812
       353        -16756.89825        3152.80014      -13604.09811
       354        -16756.87822        3152.78010      -13604.09812
       355        -16756.86190        3152.76381      -13604.09810
       356        -16756.84928        3152.75117      -13604.09811
       357        -16756.84028        3152.74218      -13604.09810
       358        -16756.83482        3152.73672      -13604.09810
       359        -16756.83277        3152.73466      -13604.09811
       360        -16756.83407        3152.73595      -13604.09813
       361        -16756.83867        3152.74052      -13604.09815
       362        -16756.84646        3152.74830      -13604.09815
       363        -16756.85732        3152.75918      -13604.09814
       364        -16756.87117        3152.77305      -13604.09813
       365        -16756.88794        3152.78981      -13604.09814
       366        -16756.90747        3152.80931      -13604.09815
       367        -16756.92958        3152.83145      -13604.09813
       368        -16756.95428        3152.85614      -13604.09814
       369        -16756.98142        3152.88328      -13604.09814
       370        -16757.01085        3152.91272      -13604.09813
       371        -16757.04248        3152.94436      -13604.09812
       372        -16757.07632        3152.97817      -13604.09815
       373        -16757.11217        3153.01403      -13604.09815
       374        -16757.14992        3153.05179      -13604.09813
       375        -16757.18948        3153.09134      -13604.09814
       376        -16757.23075        3153.13258      -13604.09817
       377        -16757.27356        3153.17537      -13604.09819
       378        -16757.31776        3153.21956      -13604.09820
       379        -16757.36327        3153.26508      -13604.09820
       380        -16757.41004        3153.31184      -13604.09821
       381        -16757.45788        3153.35966      -13604.09822
       382        -16757.50666        3153.40842      -13604.09824
       383        -16757.55626        3153.45802      -13604.09825
       384        -16757.60657        3153.50833      -13604.09824
       385        -16757.65753        3153.55928      -13604.09824
       386        -16757.70907        3153.61081      -13604.09826
       387        -16757.76106        3153.66281      -13604.09825
       388        -16757.81345        3153.71519      -13604.09826
       389        -16757.86614        3153.76789      -13604.09825
       390        -16757.91909        3153.82083      -13604.09826
       391        -16757.97223        3153.87394      -13604.09829
       392        -16758.02542        3153.92714      -13604.09828
       393        -16758.07864        3153.98035      -13604.09829
       394        -16758.13178        3154.03350      -13604.09828
       395        -16758.18481        3154.08652      -13604.09829
       396        -16758.23766        3154.13935      -13604.09831
       397        -16758.29028        3154.19196      -13604.09832
       398        -16758.34264        3154.24431      -13604.09832
       399        -16758.39469        3154.29636      -13604.09833
       400        -16758.44643        3154.34810      -13604.09833
       401        -16758.49788        3154.39956      -13604.09832
       402        -16758.54901        3154.45069      -13604.09832
       403        -16758.59980        3154.50148      -13604.09833
       404        -16758.65021        3154.55189      -13604.09832
       405        -16758.70026        3154.60195      -13604.09830
       406        -16758.74998        3154.65168      -13604.09830
       407        -16758.79936        3154.70108      -13604.09828
       408        -16758.84845        3154.75017      -13604.09828
       409        -16758.89727        3154.79900      -13604.09827
       410        -16758.94588        3154.84760      -13604.09828
       411        -16758.99428        3154.89601      -13604.09826
