                               No. of Molecules =     5400
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         63.4818
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -7107.20830
        Step              PE              KE                TE 
       130         -7118.27679        1379.01344       -5739.26335
       131         -7118.14245        1378.87909       -5739.26336
       132         -7117.99819        1378.73483       -5739.26336
       133         -7117.84410        1378.58074       -5739.26336
       134         -7117.68025        1378.41689       -5739.26336
       135         -7117.50676        1378.24341       -5739.26335
       136         -7117.32377        1378.06042       -5739.26335
       137         -7117.13138        1377.86804       -5739.26334
       138         -7116.92972        1377.66638       -5739.26334
       139         -7116.71888        1377.45552       -5739.26335
       140         -7116.49892        1377.23556       -5739.26335
       141         -7116.26998        1377.00664       -5739.26334
       142         -7116.03224        1376.76890       -5739.26334
       143         -7115.78581        1376.52248       -5739.26333
       144         -7115.53088        1376.26756       -5739.26333
       145         -7115.26761        1376.00428       -5739.26333
       146         -7114.99610        1375.73278       -5739.26332
       147         -7114.71653        1375.45321       -5739.26332
       148         -7114.42901        1375.16570       -5739.26331
       149         -7114.13373        1374.87043       -5739.26330
       150         -7113.83086        1374.56757       -5739.26329
       151         -7113.52053        1374.25725       -5739.26328
       152         -7113.20294        1373.93967       -5739.26327
       153         -7112.87830        1373.61502       -5739.26328
       154         -7112.54673        1373.28347       -5739.26326
       155         -7112.20845        1372.94520       -5739.26326
       156         -7111.86364        1372.60040       -5739.26324
       157         -7111.51251        1372.24929       -5739.26322
       158         -7111.15526        1371.89205       -5739.26321
       159         -7110.79209        1371.52889       -5739.26319
       160         -7110.42322        1371.16004       -5739.26319
       161         -7110.04886        1370.78568       -5739.26318
       162         -7109.66923        1370.40607       -5739.26316
       163         -7109.28458        1370.02142       -5739.26316
       164         -7108.89510        1369.63195       -5739.26314
       165         -7108.50104        1369.23791       -5739.26313
       166         -7108.10263        1368.83951       -5739.26312
       167         -7107.70012        1368.43701       -5739.26311
       168         -7107.29377        1368.03067       -5739.26310
       169         -7106.88389        1367.62078       -5739.26311
       170         -7106.47069        1367.20759       -5739.26310
       171         -7106.05443        1366.79135       -5739.26309
       172         -7105.63537        1366.37230       -5739.26307
       173         -7105.21376        1365.95071       -5739.26305
       174         -7104.78989        1365.52686       -5739.26303
       175         -7104.36405        1365.10102       -5739.26303
       176         -7103.93650        1364.67348       -5739.26302
       177         -7103.50750        1364.24450       -5739.26301
       178         -7103.07735        1363.81437       -5739.26298
       179         -7102.64635        1363.38339       -5739.26296
       180         -7102.21481        1362.95185       -5739.26295
       181         -7101.78298        1362.52004       -5739.26293
       182         -7101.35116        1362.08823       -5739.26292
       183         -7100.91960        1361.65671       -5739.26290
       184         -7100.48860        1361.22573       -5739.26287
       185         -7100.05844        1360.79558       -5739.26286
       186         -7099.62936        1360.36651       -5739.26284
       187         -7099.20164        1359.93882       -5739.26282
       188         -7098.77558        1359.51278       -5739.26280
       189         -7098.35144        1359.08866       -5739.26278
       190         -7097.92949        1358.66672       -5739.26276
       191         -7097.50997        1358.24723       -5739.26274
       192         -7097.09316        1357.83044       -5739.26272
       193         -7096.67932        1357.41662       -5739.26270
       194         -7096.26876        1357.00607       -5739.26268
       195         -7095.86170        1356.59902       -5739.26267
       196         -7095.45839        1356.19573       -5739.26266
       197         -7095.05909        1355.79645       -5739.26263
       198         -7094.66399        1355.40137       -5739.26262
       199         -7094.27332        1355.01070       -5739.26261
       200         -7093.88731        1354.62470       -5739.26261
       201         -7093.50618        1354.24358       -5739.26259
       202         -7093.13017        1353.86758       -5739.26259
       203         -7092.75947        1353.49689       -5739.26258
       204         -7092.39424        1353.13167       -5739.26257
       205         -7092.03465        1352.77209       -5739.26256
       206         -7091.68089        1352.41834       -5739.26255
       207         -7091.33313        1352.07058       -5739.26255
       208         -7090.99153        1351.72900       -5739.26254
       209         -7090.65627        1351.39373       -5739.26254
       210         -7090.32747        1351.06493       -5739.26254
       211         -7090.00528        1350.74275       -5739.26253
       212         -7089.68985        1350.42733       -5739.26252
       213         -7089.38133        1350.11881       -5739.26251
       214         -7089.07982        1349.81730       -5739.26251
       215         -7088.78541        1349.52290       -5739.26251
       216         -7088.49823        1349.23572       -5739.26251
       217         -7088.21835        1348.95585       -5739.26250
       218         -7087.94587        1348.68337       -5739.26250
       219         -7087.68080        1348.41830       -5739.26251
       220         -7087.42326        1348.16073       -5739.26252
       221         -7087.17324        1347.91071       -5739.26253
       222         -7086.93078        1347.66826       -5739.26252
       223         -7086.69592        1347.43340       -5739.26252
       224         -7086.46867        1347.20616       -5739.26251
       225         -7086.24904        1346.98653       -5739.26251
       226         -7086.03700        1346.77448       -5739.26252
       227         -7085.83252        1346.57000       -5739.26251
       228         -7085.63558        1346.37306       -5739.26252
       229         -7085.44614        1346.18363       -5739.26251
       230         -7085.26415        1346.00164       -5739.26252
       231         -7085.08952        1345.82699       -5739.26253
       232         -7084.92215        1345.65963       -5739.26252
       233         -7084.76201        1345.49948       -5739.26253
       234         -7084.60897        1345.34643       -5739.26254
       235         -7084.46292        1345.20038       -5739.26253
       236         -7084.32376        1345.06123       -5739.26253
       237         -7084.19138        1344.92883       -5739.26255
       238         -7084.06559        1344.80302       -5739.26257
       239         -7083.94622        1344.68365       -5739.26257
       240         -7083.83314        1344.57055       -5739.26259
       241         -7083.72615        1344.46353       -5739.26262
       242         -7083.62507        1344.36244       -5739.26262
       243         -7083.52971        1344.26708       -5739.26264
       244         -7083.43988        1344.17724       -5739.26265
       245         -7083.35537        1344.09271       -5739.26266
       246         -7083.27596        1344.01328       -5739.26267
       247         -7083.20144        1343.93874       -5739.26270
       248         -7083.13156        1343.86883       -5739.26273
       249         -7083.06603        1343.80328       -5739.26275
       250         -7083.00462        1343.74185       -5739.26277
       251         -7082.94711        1343.68431       -5739.26280
       252         -7082.89322        1343.63040       -5739.26282
       253         -7082.84272        1343.57988       -5739.26284
       254         -7082.79530        1343.53244       -5739.26287
       255         -7082.75070        1343.48780       -5739.26290
       256         -7082.70861        1343.44571       -5739.26291
       257         -7082.66883        1343.40590       -5739.26293
       258         -7082.63106        1343.36811       -5739.26295
       259         -7082.59505        1343.33208       -5739.26297
       260         -7082.56051        1343.29752       -5739.26298
       261         -7082.52716        1343.26415       -5739.26302
       262         -7082.49474        1343.23171       -5739.26303
       263         -7082.46301        1343.19996       -5739.26304
       264         -7082.43171        1343.16864       -5739.26307
       265         -7082.40056        1343.13748       -5739.26308
       266         -7082.36934        1343.10624       -5739.26310
       267         -7082.33782        1343.07470       -5739.26312
       268         -7082.30574        1343.04261       -5739.26313
       269         -7082.27289        1343.00973       -5739.26315
       270         -7082.23904        1342.97587       -5739.26317
